0.00-1.00,12.5,16.8
1.00-2.00,14.9,15.5
2.00-3.00,18.0,18.1
3.00-4.00,22.2,13.9
4.00-5.00,22.3,13.9
5.00-6.00,20.5,10.8
6.00-7.00,20.5,13.9
7.00-8.00,16.8,15.5
8.00-9.00,11.4,17.9
9.00-10.00,12.2,13.1
